# pattern	points	note
# SPEAR heuristics plate — DATA ONLY (never executed). Scored in C++ hunt.
# NEVER SCRIPTS as engine. Always secure C++ or lower. Plate + Angel Meld.
# format: pattern(alts | )	points	kind_note
xmrig|minerd|cpuminer|kdevtmpfsi|kinsing|watchbog	55	crypto_miner
stratum+tcp|nicehash|moneroocean|nanopool|supportxmr	50	pool_connect
bash -i|/dev/tcp/|nc -e |ncat -e|ncat -c 	45	reverse_shell
python -c |python3 -c |python3 -c.*socket|python3 -c.*connect	40	py_shell
/tmp/|/var/tmp/|/dev/shm/	20	ephemeral_exe
curl |sh|curl | bash|wget |sh|wget | bash	35	pipe_dropper
base64 -d|base64 --decode|echo | base64	35	encoded_payload
# --- AI / C2 soft shapes ---
LOLBin|spawn|Office	15	ai_malware_polymorph
egress|browser	15	ai_malware_polymorph
Inter|arrival|below	15	ai_c2_beacon
Persistent|daemon|session	15	ai_c2_beacon
fatigue|burst	15	ai_phish_fraud
Honorability|lookalike|domain	15	ai_phish_fraud
probes	15	ai_autoscan_exploit
Exploit|class|transmit	15	ai_autoscan_exploit
browser|bytes|hosting	15	ai_exfil_shape
Throttled|egress|under	15	ai_exfil_shape
GATEWAY_SHIFT|ARP_SPOOF|router	15	ai_dns_dhcp_abuse
DNS_POISON|resolv|drift	15	ai_dns_dhcp_abuse
C2_CORRELATION|score	15	ai_ml_c2_stack
Multiple|vectors|single	15	ai_ml_c2_stack
# --- Hotdog / copilot (hard) ---
hotdog.*hallway|hallway.*hotdog|hotdog-down	90	hotdog_hallway
zocr_copilot|zocr-copilot|zocrcopilot	90	zocr_copilot
github.copilot|copilot-language-server|copilot-agent|copilot-chat	90	github_ms_copilot
microsoft.copilot|copilot.exe|copilot.microsoft|api.githubcopilot	85	microsoft_copilot
# --- Field One · TRAPS as TERRORIST THREAT ---
pingsender|crashreporter|crashhelper	90	terrorist_trap_mozilla_phonehome
firefox-bin|/usr/lib/firefox/|mozilla.org|firefox.com|/snap/firefox/	85	terrorist_trap_foreign_browser
trap.sh|honeypot|honey-pot|honey_pot|credential-trap|phish-kit|phishkit	90	terrorist_trap_kit
PATH trap|silent field trap|NoDisplay=true	80	terrorist_trap_path_impostor
Hidden=true|firefox.desktop	75	terrorist_trap_desktop_mask
telemetry.mozilla|incoming.telemetry|normandy.cdn|detectportal.firefox	85	terrorist_trap_server_lurk
updater.ini|aus5.mozilla|update.libreoffice	80	terrorist_trap_auto_update
